epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
48,11356.9,0.56014,3.65255,0.19404,0.40232,0.01424,1.07638,0.97127,0.9726,0.99007,0.85332,0.87965,0.85323,0.853,0.7077,0.42554,2.3994,0.05171,0.241,0.01413,0,0.00110317,0.00110317,0.00110317
49,11588.6,0.55809,3.65324,0.19136,0.40313,0.01427,1.10146,0.97032,0.97158,0.98998,0.85384,0.87948,0.85357,0.85326,0.70871,0.42438,2.3819,0.05108,0.24061,0.0141,0,0.00107216,0.00107216,0.00107216
50,11821,0.55646,3.60929,0.19109,0.39982,0.0143,1.08956,0.97062,0.97247,0.9898,0.85487,0.87931,0.85515,0.85384,0.70937,0.42384,2.37388,0.05073,0.24123,0.01407,0,0.0010411,0.0010411,0.0010411
51,12046.7,0.55681,3.61522,0.19049,0.40008,0.01414,1.03326,0.97006,0.97435,0.99012,0.85481,0.88111,0.8557,0.85398,0.7097,0.42347,2.37133,0.05038,0.23981,0.01406,0,0.00101,0.00101,0.00101
52,12286.8,0.55147,3.58865,0.1893,0.40434,0.01405,0.98371,0.96959,0.97526,0.99018,0.85516,0.88281,0.8554,0.85399,0.71043,0.42245,2.36568,0.04986,0.23934,0.01403,0,0.000978903,0.000978903,0.000978903
53,12564,0.55007,3.53195,0.18861,0.39811,0.01404,0.95697,0.96995,0.97477,0.99014,0.85622,0.88353,0.85294,0.85425,0.71198,0.42156,2.36469,0.04933,0.23942,0.01399,0,0.000947837,0.000947837,0.000947837
54,12827.1,0.54869,3.53528,0.18923,0.39209,0.01406,0.94499,0.97096,0.97477,0.99029,0.85632,0.88234,0.8537,0.85387,0.71352,0.42009,2.35672,0.04898,0.23977,0.01393,0,0.000916833,0.000916833,0.000916833
55,13091.7,0.54095,3.45104,0.18609,0.38301,0.01375,0.86081,0.97142,0.97472,0.99021,0.85693,0.88142,0.85633,0.85452,0.71398,0.41974,2.35246,0.0487,0.23742,0.01392,0,0.00088592,0.00088592,0.00088592
56,237.237,0.54199,3.4878,0.19041,0.38953,0.01378,0.89893,0.97031,0.97553,0.9901,0.85702,0.88227,0.85383,0.85408,0.71403,0.41892,2.35184,0.04864,0.23746,0.01389,0,0.00085513,0.00085513,0.00085513
57,454.211,0.54373,3.47313,0.18743,0.3931,0.01393,0.89485,0.97042,0.97502,0.9903,0.85747,0.88237,0.85396,0.85423,0.71406,0.41864,2.35581,0.04864,0.23745,0.01388,0,0.000824492,0.000824492,0.000824492
58,735.96,0.54078,3.43909,0.18769,0.38896,0.01382,0.8696,0.96974,0.97596,0.99019,0.8572,0.88541,0.85177,0.85382,0.71352,0.41817,2.35653,0.04859,0.23785,0.01386,0,0.000794038,0.000794038,0.000794038
59,1074.77,0.53702,3.43747,0.18776,0.38959,0.01375,0.86346,0.97145,0.9754,0.99028,0.85745,0.8808,0.85411,0.85391,0.71373,0.41843,2.35779,0.04848,0.23682,0.01387,0,0.000763797,0.000763797,0.000763797
60,1432.05,0.53635,3.38603,0.1846,0.38686,0.0136,0.80796,0.97116,0.97489,0.99036,0.85835,0.8826,0.85362,0.85386,0.71385,0.41748,2.35653,0.04833,0.23661,0.01383,0,0.000733799,0.000733799,0.000733799
61,1807.08,0.53479,3.43011,0.18599,0.38629,0.01356,0.84695,0.97117,0.97462,0.99015,0.85836,0.88118,0.85472,0.85378,0.71403,0.41692,2.35258,0.04823,0.23706,0.01381,0,0.000704073,0.000704073,0.000704073
62,2205.02,0.53205,3.38022,0.1848,0.38126,0.0135,0.78322,0.97071,0.97557,0.9903,0.85904,0.88322,0.85523,0.85431,0.71385,0.41673,2.35135,0.04816,0.23613,0.0138,0,0.000674649,0.000674649,0.000674649
63,2600.97,0.53201,3.34451,0.18258,0.38069,0.01357,0.75248,0.97169,0.97556,0.99038,0.8592,0.88291,0.8551,0.8544,0.71438,0.41654,2.34899,0.04792,0.23589,0.01379,0,0.000645557,0.000645557,0.000645557
64,2928.35,0.52931,3.32096,0.18262,0.37612,0.01346,0.72894,0.972,0.97477,0.99043,0.85928,0.88313,0.85549,0.8545,0.71542,0.41642,2.34254,0.04779,0.23532,0.01378,0,0.000616824,0.000616824,0.000616824
